time (s),x (m),z (m),V (m/s),gamma_Deg (deg),theta_deg (deg),q_deg_s (deg/s),alpha_deg (deg),lift (N),drag (N),pitch_moment (N.m),density (kg/m^3), L/D ratio
0.000000,0.000000,1000.000000,86.000000,0.000000,2.000000,0.000000,2.000000,452.015979,133.267055,-193.721134,1.111652,3.391806
0.010000,0.859945,999.999694,85.988980,-0.041019,1.979063,-2.892876,2.020082,432.389253,132.393299,-49.465604,1.111652,3.265945
0.020000,1.719779,999.998768,85.978067,-0.082561,1.944951,-3.577500,2.027513,427.288112,132.150865,-10.298162,1.111652,3.233336
0.030000,2.579504,999.997217,85.967236,-0.124231,1.908261,-3.665429,2.032492,426.362849,132.083610,0.207967,1.111653,3.227977
0.040000,3.439120,999.995040,85.956478,-0.165907,1.871828,-3.596105,2.037736,426.775026,132.072135,2.904360,1.111653,3.231378
0.050000,4.298627,999.992239,85.945791,-0.207547,1.836372,-3.489125,2.043919,427.736299,132.083753,3.479953,1.111653,3.238372
0.060000,5.158025,999.988814,85.935174,-0.249128,1.802038,-3.376810,2.051167,429.018534,132.109091,3.486529,1.111654,3.247457
0.070000,6.017314,999.984766,85.924626,-0.290636,1.768819,-3.267682,2.059455,430.547275,132.145151,3.346978,1.111654,3.258139
0.080000,6.876495,999.980097,85.914145,-0.332058,1.736666,-3.163784,2.068723,432.290769,132.190711,3.176154,1.111654,3.270205
0.090000,7.735568,999.974808,85.903730,-0.373382,1.705524,-3.065410,2.078906,434.229638,132.245062,3.004874,1.111655,3.283523
0.100000,8.594533,999.968902,85.893382,-0.414598,1.675339,-2.972388,2.089937,436.348558,132.307667,2.841055,1.111656,3.297984
0.110000,9.453391,999.962379,85.883098,-0.455696,1.646059,-2.884440,2.101755,438.633945,132.378059,2.686388,1.111656,3.313494
0.120000,10.312141,999.955241,85.872878,-0.496667,1.617635,-2.801269,2.114301,441.073284,132.455814,2.540900,1.111657,3.329965
0.130000,11.170784,999.947492,85.862722,-0.537503,1.590019,-2.722588,2.127522,443.654909,132.540538,2.404185,1.111658,3.347315
0.140000,12.029320,999.939132,85.852628,-0.578196,1.563169,-2.648126,2.141364,446.367909,132.631865,2.275747,1.111659,3.365465
0.150000,12.887749,999.930165,85.842595,-0.618739,1.537043,-2.577627,2.155782,449.202069,132.729454,2.155088,1.111660,3.384344
0.160000,13.746072,999.920593,85.832624,-0.659125,1.511604,-2.510851,2.170729,452.147824,132.832985,2.041732,1.111661,3.403882
0.170000,14.604288,999.910418,85.822713,-0.699349,1.486815,-2.447574,2.186163,455.196217,132.942156,1.935232,1.111662,3.424017
0.180000,15.462398,999.899644,85.812861,-0.739405,1.462641,-2.387582,2.202046,458.338863,133.056686,1.835166,1.111663,3.444689
0.190000,16.320403,999.888272,85.803067,-0.779287,1.439053,-2.330679,2.218339,461.567909,133.176307,1.741137,1.111664,3.465841
0.200000,17.178301,999.876305,85.793332,-0.818991,1.416018,-2.276678,2.235009,464.876006,133.300767,1.652775,1.111666,3.487422
0.210000,18.036094,999.863747,85.783654,-0.858513,1.393510,-2.225404,2.252023,468.256273,133.429830,1.569731,1.111667,3.509382
0.220000,18.893782,999.850599,85.774032,-0.897849,1.371502,-2.176693,2.269350,471.702272,133.563271,1.491678,1.111669,3.531677
0.230000,19.751364,999.836866,85.764466,-0.936995,1.349968,-2.130391,2.286963,475.207978,133.700875,1.418308,1.111670,3.554262
0.240000,20.608842,999.822550,85.754956,-0.975948,1.328886,-2.086354,2.304834,478.767752,133.842441,1.349335,1.111672,3.577100
0.250000,21.466214,999.807655,85.745500,-1.014704,1.308234,-2.044446,2.322938,482.376321,133.987775,1.284487,1.111673,3.600152
0.260000,22.323483,999.792182,85.736097,-1.053263,1.287991,-2.004540,2.341253,486.028752,134.136695,1.223512,1.111675,3.623384
0.270000,23.180647,999.776136,85.726749,-1.091620,1.268137,-1.966517,2.359756,489.720432,134.289026,1.166172,1.111677,3.646764
0.280000,24.037707,999.759519,85.717452,-1.129773,1.248654,-1.930263,2.378428,493.447046,134.444603,1.112242,1.111679,3.670263
0.290000,24.894663,999.742335,85.708208,-1.167722,1.229526,-1.895675,2.397248,497.204563,134.603267,1.061515,1.111680,3.693852
0.300000,25.751515,999.724587,85.699015,-1.205463,1.210736,-1.862653,2.416199,500.989213,134.764865,1.013792,1.111682,3.717506
0.310000,26.608264,999.706278,85.689873,-1.242996,1.192268,-1.831105,2.435264,504.797475,134.929255,0.968890,1.111684,3.741201
0.320000,27.464909,999.687411,85.680782,-1.280320,1.174109,-1.800944,2.454429,508.626057,135.096296,0.926636,1.111686,3.764915
0.330000,28.321451,999.667990,85.671739,-1.317432,1.156245,-1.772087,2.473677,512.471888,135.265859,0.886868,1.111689,3.788627
0.340000,29.177891,999.648018,85.662746,-1.354333,1.138663,-1.744459,2.492996,516.332097,135.437814,0.849431,1.111691,3.812319
0.350000,30.034228,999.627498,85.653802,-1.391021,1.121352,-1.717988,2.512373,520.204007,135.612043,0.814185,1.111693,3.835972
0.360000,30.890462,999.606433,85.644905,-1.427496,1.104300,-1.692605,2.531796,524.085117,135.788428,0.780995,1.111695,3.859571
0.370000,31.746594,999.584827,85.636056,-1.463757,1.087496,-1.668248,2.551253,527.973096,135.966858,0.749734,1.111698,3.883101
0.380000,32.602625,999.562684,85.627254,-1.499804,1.070932,-1.644856,2.570735,531.865770,136.147226,0.720285,1.111700,3.906549
0.390000,33.458553,999.540005,85.618499,-1.535636,1.054596,-1.622375,2.590232,535.761110,136.329431,0.692536,1.111703,3.929901
0.400000,34.314380,999.516795,85.609789,-1.571253,1.038481,-1.600751,2.609735,539.657230,136.513375,0.666384,1.111705,3.953145
0.410000,35.170105,999.493058,85.601124,-1.606656,1.022578,-1.579936,2.629235,543.552369,136.698962,0.641731,1.111708,3.976273
0.420000,36.025729,999.468795,85.592504,-1.641844,1.006880,-1.559883,2.648724,547.444890,136.886104,0.618485,1.111710,3.999273
0.430000,36.881252,999.444011,85.583929,-1.676817,0.991378,-1.540548,2.668196,551.333268,137.074712,0.596560,1.111713,4.022137
0.440000,37.736675,999.418709,85.575398,-1.711576,0.976067,-1.521891,2.687643,555.216086,137.264705,0.575877,1.111716,4.044857
0.450000,38.591997,999.392893,85.566910,-1.746121,0.960938,-1.503874,2.707059,559.092027,137.456001,0.556358,1.111719,4.067425
0.460000,39.447218,999.366565,85.558465,-1.780451,0.945987,-1.486461,2.726439,562.959867,137.648524,0.537933,1.111721,4.089836
0.470000,40.302340,999.339728,85.550062,-1.814569,0.931207,-1.469617,2.745776,566.818470,137.842201,0.520535,1.111724,4.112082
0.480000,41.157362,999.312387,85.541701,-1.848473,0.916593,-1.453312,2.765066,570.666782,138.036959,0.504102,1.111727,4.134159
0.490000,42.012284,999.284544,85.533382,-1.882165,0.902139,-1.437516,2.784304,574.503827,138.232732,0.488575,1.111730,4.156062
0.500000,42.867107,999.256203,85.525104,-1.915645,0.887841,-1.422200,2.803486,578.328700,138.429453,0.473898,1.111733,4.177787
0.510000,43.721830,999.227366,85.516867,-1.948914,0.873694,-1.407338,2.822608,582.140565,138.627059,0.460021,1.111737,4.199329
0.520000,44.576455,999.198038,85.508670,-1.981972,0.859693,-1.392906,2.841665,585.938647,138.825491,0.446894,1.111740,4.220685
0.530000,45.430980,999.168221,85.500512,-2.014820,0.845834,-1.378880,2.860655,589.722233,139.024688,0.434472,1.111743,4.241853
0.540000,46.285408,999.137919,85.492394,-2.047460,0.832114,-1.365240,2.879574,593.490664,139.224597,0.422713,1.111746,4.262829
0.550000,47.139737,999.107134,85.484315,-2.079891,0.818528,-1.351963,2.898419,597.243334,139.425161,0.411575,1.111750,4.283612
0.560000,47.993968,999.075870,85.476275,-2.112114,0.805074,-1.339032,2.917188,600.979685,139.626331,0.401023,1.111753,4.304200
0.570000,48.848101,999.044130,85.468273,-2.144131,0.791747,-1.326427,2.935878,604.699204,139.828055,0.391019,1.111757,4.324591
0.580000,49.702137,999.011918,85.460308,-2.175943,0.778544,-1.314133,2.954487,608.401423,140.030285,0.381531,1.111760,4.344785
0.590000,50.556075,998.979236,85.452381,-2.207549,0.765463,-1.302133,2.973012,612.085912,140.232976,0.372529,1.111764,4.364779
0.600000,51.409916,998.946087,85.444491,-2.238952,0.752500,-1.290412,2.991453,615.752279,140.436083,0.363981,1.111767,4.384573
0.610000,52.263660,998.912475,85.436637,-2.270152,0.739654,-1.278957,3.009806,619.400167,140.639563,0.355863,1.111771,4.404167
0.620000,53.117308,998.878403,85.428820,-2.301150,0.726921,-1.267753,3.028070,623.029251,140.843374,0.348147,1.111775,4.423561
0.630000,53.970859,998.843874,85.421038,-2.331947,0.714298,-1.256789,3.046245,626.639239,141.047477,0.340809,1.111779,4.442754
0.640000,54.824314,998.808891,85.413292,-2.362544,0.701784,-1.246053,3.064328,630.229866,141.251834,0.333827,1.111782,4.461746
0.650000,55.677673,998.773456,85.405581,-2.392942,0.689376,-1.235534,3.082318,633.800894,141.456407,0.327180,1.111786,4.480539
0.660000,56.530936,998.737574,85.397905,-2.423143,0.677073,-1.225221,3.100215,637.352109,141.661161,0.320847,1.111790,4.499131
0.670000,57.384104,998.701246,85.390263,-2.453146,0.664871,-1.215105,3.118018,640.883323,141.866063,0.314810,1.111794,4.517524
0.680000,58.237176,998.664476,85.382656,-2.482954,0.652770,-1.205176,3.135724,644.394367,142.071078,0.309051,1.111798,4.535718
0.690000,59.090154,998.627268,85.375082,-2.512568,0.640767,-1.195427,3.153335,647.885096,142.276175,0.303554,1.111802,4.553715
0.700000,59.943036,998.589623,85.367541,-2.541988,0.628861,-1.185849,3.170848,651.355381,142.481323,0.298303,1.111806,4.571514
0.710000,60.795824,998.551545,85.360033,-2.571215,0.617049,-1.176434,3.188265,654.805113,142.686493,0.293284,1.111810,4.589118
0.720000,61.648518,998.513037,85.352558,-2.600251,0.605332,-1.167176,3.205583,658.234197,142.891657,0.288483,1.111815,4.606526
0.730000,62.501118,998.474102,85.345116,-2.629097,0.593705,-1.158067,3.222803,661.642558,143.096787,0.283887,1.111819,4.623742
0.740000,63.353624,998.434742,85.337706,-2.657754,0.582170,-1.149101,3.239924,665.030130,143.301855,0.279485,1.111823,4.640764
0.750000,64.206036,998.394961,85.330327,-2.686223,0.570723,-1.140272,3.256946,668.396866,143.506838,0.275264,1.111828,4.657596
0.760000,65.058355,998.354761,85.322980,-2.714505,0.559364,-1.131575,3.273869,671.742728,143.711710,0.271214,1.111832,4.674238
0.770000,65.910581,998.314145,85.315664,-2.742601,0.548091,-1.123004,3.290692,675.067691,143.916447,0.267326,1.111836,4.690692
0.780000,66.762714,998.273116,85.308378,-2.770512,0.536903,-1.114555,3.307416,678.371742,144.121026,0.263591,1.111841,4.706959
